gene_id,PM2601,PM2602,PM2603,PM2604
gene-PA0720,1640,1176,1064,1423
gene-PA0721,439,270,191,369
gene-PA0722,1400,713,690,810
gene-PA0723,1417,1007,1048,1135
gene-PA0724,3409,2280,1231,1899
gene-PA0725,1051,972,483,795
gene-PA0726,2833,2703,1356,2059
gene-PA0727,2064,1094,656,820
gene-PA0728,1122,578,394,436
gene-PA0729,3708,3112,2942,3795
gene-PA0729.1,265,234,155,239
gene-PA0730,6524,5796,3045,3261
gene-PA0731,1728,2128,1542,1952
gene-PA0732,2068,2456,2031,2765
gene-PA0733,1170,1282,1164,1538
gene-PA0734,1275,1467,1340,1622
gene-PA0735,2286,3070,1688,2095
gene-PA0736,4036,4462,2289,2903
gene-PA0736a,672,547,628,780
gene-PA0737,670,815,620,828
gene-PA0738,424,438,280,376
gene-PA0739,600,649,657,1147
gene-PA0740,1543,1942,1163,1773
gene-PA0741,435,513,385,707
gene-PA0742,768,922,544,775
gene-PA0743,538,746,523,813
gene-PA0744,932,1124,1649,2243
gene-PA0745,1172,1098,1802,2252
gene-PA0746,1423,1618,1620,2215
gene-PA0747,1610,1723,1791,2474
gene-PA0749,1590,1650,1062,1447
gene-PA0750,3826,3943,3072,3501
gene-PA0751,722,934,897,1306
gene-PA0752,1192,1461,896,1523
gene-PA0753,414,451,306,448
gene-PA0754,1264,1662,1029,1530
gene-PA0755,2614,2744,1448,1762
gene-PA0756,612,814,853,1172
gene-PA0757,1825,1657,2424,3444
gene-PA0758,5513,5191,5626,6438
gene-PA0759,3312,3331,3508,4260
gene-PA0760,572,418,460,595
gene-PA0761,6022,6713,6414,7632
gene-PA0762,9165,8760,10183,11611
gene-PA0763,13994,13140,17791,19573
gene-PA0764,9820,9508,12825,13929
gene-PA0765,4138,3243,3770,4705
gene-PA0766,19202,17301,18792,20677
gene-PA0767,25506,24520,24161,26731
gene-PA0768,7053,5998,6277,7258
gene-PA0769,3642,3292,3090,3360
gene-PA0770,7433,7221,9397,11389
gene-PA0771,7542,7732,9650,11428
gene-PA0772,1164,1244,1456,2055
gene-PA0773,1260,1565,2081,2399
gene-PA0774,1945,2071,2209,2449
gene-PA0775,4352,4939,4219,5005
gene-PA0776,556,231,197,248
gene-PA0777,1052,1280,1823,2446
gene-PA0778,1866,1724,2914,3074
gene-PA0779,14661,15617,36752,39634
gene-PA0780,4980,4709,5109,5782
gene-PA0781,69634,63812,58478,68848
gene-PA0782,11045,12496,12816,15185
gene-PA0783,9565,10324,9681,11614
gene-PA0784,2195,2886,2541,3369
gene-PA0785,619,836,639,965
gene-PA0786,378,460,249,403
gene-PA0787,648,665,1010,1569
gene-PA0788,2426,2981,2293,3770
gene-PA0788a,375,337,341,565
gene-PA0789,5638,5408,4726,5440
gene-PA0790,499,598,486,893
gene-PA0791,600,723,925,1262
gene-PA0792,1698,1767,1551,2288
gene-PA0793,1539,1883,1456,2097
gene-PA0794,3395,4213,4109,5570
gene-PA0795,3083,3656,2565,3349
gene-PA0796,3310,3583,2874,3748
gene-PA0797,1465,1434,1143,1559
gene-PA0798,504,587,612,1051
gene-PA0799,3245,3748,4961,6790
gene-PA0800,712,717,571,877
gene-PA0801,1832,1862,1874,2803
gene-PA0802,801,773,688,1024
gene-PA0803,822,991,747,1087
gene-PA0804,1120,1119,1030,1457
gene-PA0805,6850,6122,7191,8399
gene-PA0806,422,494,364,541
gene-PA0807,1399,1602,1631,1911
gene-PA0808,611,718,453,627
gene-PA0809,667,854,838,1401
gene-PA0810,678,899,846,1166
gene-PA0811,760,964,922,1504
gene-PA0812,1189,1330,848,1357
gene-PA0813,352,536,844,1262
gene-PA0814,73,109,150,252
gene-PA0815,1055,1362,1686,2325
gene-PA0816,439,648,937,1385
gene-PA0817,406,633,574,807
gene-PA0818,421,552,334,498
gene-PA0819,592,323,214,244
gene-PA0820,1935,1173,815,1098
gene-PA0821,3041,2398,1657,2049
gene-PA0823,498,460,276,433
gene-PA0824,692,874,448,779
gene-PA0825,311,331,114,179
gene-PA0826,982,538,375,492
gene-PA0826.2,286066,234494,530748,527853
gene-PA0827,1327,1466,1038,1541
gene-PA0828,440,470,508,925
gene-PA0829,852,1056,682,872
gene-PA0830,1129,1183,1890,2520
gene-PA0831,3805,5062,4318,5558
gene-PA0832,1737,2083,1997,2442
gene-PA0833,22100,22063,24807,30508
gene-PA0834,1881,2020,2986,3327
gene-PA0835,7712,8676,20779,22022
gene-PA0836,6924,8111,17682,21347
gene-PA0836.1,1925,2097,3494,4370
gene-PA0837,7958,7499,7707,7664
gene-PA0838,3258,3386,3226,3646
gene-PA0839,583,699,870,1245
gene-PA0840,1223,1492,1827,2330
gene-PA0841,1010,1220,1033,1618
gene-PA0842,531,746,587,1054
gene-PA0843,888,900,476,752
gene-PA0844,1934,2149,1235,1750
gene-PA0845,1944,1890,1042,1627
gene-PA0846,2094,1904,1881,2362
gene-PA0847,2785,2950,1871,2800
gene-PA0848,1268,1144,748,938
gene-PA0849,1163,1460,1084,1393
gene-PA0850,343,385,464,615
gene-PA0851,681,891,1149,1540
gene-PA0852,1164,1722,1037,1538
gene-PA0853,1547,1732,1753,2225
gene-PA0854,8372,9440,8011,10160
gene-PA0855,1153,1246,954,1601
gene-PA0856,16310,17104,13109,16620
gene-PA0857,6668,5792,5835,6512
gene-PA0858,6782,5997,7418,8570
gene-PA0859,925,1030,1570,2692
gene-PA0860,3262,3073,3673,5004
gene-PA0861,3468,4479,4189,5058
gene-PA0862,2006,2457,2626,3266
gene-PA0863,698,954,814,1203
gene-PA0864,506,694,586,1006
gene-PA0865,4876,6492,3041,3766
gene-PA0866,1372,1419,697,1089
gene-PA0867,1612,1520,1355,1399
gene-PA0868,636,819,1027,1261
gene-PA0869,4477,4488,4605,5624
gene-PA0870,3077,2881,5526,6689
gene-PA0871,1929,1956,3205,3804
gene-PA0872,6139,6837,9632,11943
gene-PA0873,1874,2163,2022,2636
gene-PA0874,510,561,512,569
gene-PA0875,1624,2064,1419,2406
gene-PA0876,4452,5104,5198,6592
gene-PA0877,1138,1381,1279,1709
gene-PA0878,395,415,358,567
gene-PA0879,962,1258,735,1217
gene-PA0880,429,572,308,492
gene-PA0881,712,920,791,1423
gene-PA0882,605,781,739,1246
gene-PA0883,313,416,347,658
gene-PA0884,743,985,551,864
gene-PA0885,609,800,344,619
gene-PA0886,853,961,616,1081
gene-PA0887,7953,9569,3280,4076
gene-PA0887.1,995,874,457,625
gene-PA0888,8462,9314,10321,10785
gene-PA0889,3625,3591,3673,3793
gene-PA0890,3531,3455,3549,3963
gene-PA0891,2827,3141,3919,5274
gene-PA0892,3213,3437,3711,4457
gene-PA0893,3181,3090,3494,4239
gene-PA0894,836,937,710,1013
gene-PA0895,9035,9899,10912,12445
gene-PA0896,3961,4340,5849,6388
gene-PA0897,3182,3546,5702,6416
gene-PA0898,3891,4768,7684,9060
gene-PA0899,5244,5126,7933,9041
gene-PA0900,3585,3617,4556,5156
gene-PA0901,4900,5330,7179,7658
gene-PA0902,2118,2623,2830,3424
gene-PA0903,19041,19473,23295,25247
gene-PA0904,11616,11810,12732,14974
gene-PA0905,1346,929,1429,1489
gene-PA0905.1,10872,11511,7390,9159
gene-PA0905.2,4382,3230,3208,3464
gene-PA0905.3,809,465,483,470
gene-PA0906,1483,1557,1387,1803
gene-PA0907,541,639,479,775
gene-PA0908,474,566,391,511
gene-PA0909,562,703,496,679
gene-PA0910,944,1037,773,1038
gene-PA0911,1286,1131,890,1172
gene-PA0912,1220,1055,634,884
gene-PA0913,6003,7082,5541,5824
gene-PA0914,1077,1033,1013,1074
gene-PA0915,1377,1403,1296,1506
gene-PA0916,6352,6209,7098,7310
gene-PA0917,2829,2826,2676,3293
gene-PA0918,2333,2390,6176,7336
gene-PA0919,4775,4296,5794,6691
gene-PA0920,6684,5963,8319,10557
gene-PA0921,2412,2247,2252,2629
gene-PA0922,2306,2361,2447,2541
gene-PA0922.1,213,251,93,186
gene-PA0923,1423,2050,1669,2192
gene-PA0924,2981,3066,1829,2914
gene-PA0925,2982,3106,2304,2681
gene-PA0926,3399,3336,2695,3203
gene-PA0927,2526,2672,2363,3120
gene-PA0928,5451,5981,5612,7004
gene-PA0929,1648,1633,1245,1789
gene-PA0930,1784,2072,1463,2180
gene-PA0931,5548,4782,2148,3290
gene-PA0932,5915,5994,6302,6837
gene-PA0933,4739,5075,5550,6227
gene-PA0934,9895,9961,8752,10120
gene-PA0935,2187,2020,1466,1756
gene-PA0936,7103,6443,5954,6893
gene-PA0937,3042,2482,2215,2329
gene-PA0938,9852,8770,6498,7525
gene-PA0939,480,414,319,436
gene-PA0940,403,291,351,416
gene-PA0941,356,232,262,349
gene-PA0942,695,578,422,572
gene-PA0943,9399,10198,10797,12532
gene-PA0944,6930,8017,7580,8750
gene-PA0945,10768,11716,11727,12438
gene-PA0946,3705,4160,4199,4854
gene-PA0947,2928,3028,2528,2714
gene-PA0948,1806,1795,1770,1956
gene-PA0949,5295,5435,5272,5800
gene-PA0950,1969,1923,1951,2146
gene-PA0951,2098,1744,1314,1618
gene-PA0951a,1917,2061,2369,2657
gene-PA0952,2820,2787,2872,3142
gene-PA0953,832,709,611,618
gene-PA0954,1621,1771,1757,2077
gene-PA0955,7206,6806,7069,8276
gene-PA0956,26702,28073,27540,31840
gene-PA0957,811,829,773,930
gene-PA0958,35926,36509,40512,45558
gene-PA0959,1251,972,856,908
gene-PA0960,413,330,311,315
gene-PA0961,5921,6055,5302,6254
gene-PA0962,15490,11453,17206,18094
gene-PA0963,30293,30658,35671,38372
gene-PA0964,20172,21824,24780,27527
gene-PA0965,3039,2541,2996,3272
gene-PA0966,3139,2724,3321,3632
gene-PA0967,5890,6245,5671,6851
gene-PA0968,4246,3861,3285,3746
gene-PA0969,13278,13410,12534,13912
gene-PA0970,5921,5309,5045,5691
gene-PA0971,10182,10128,9134,10538
gene-PA0972,28378,28741,27391,33157
gene-PA0973,29544,26970,35303,38869
gene-PA0974,13215,15183,13060,14495
gene-PA0975,2071,1814,1766,1911
gene-PA0976,2502,3058,2762,3531
gene-PA0976.1,1405,1957,1439,1887
gene-PA0978,1139,822,500,631
gene-PA0979,451,301,165,202
gene-PA0981,1070,948,355,590
gene-PA0982,1260,897,716,910
gene-PA0983,479,266,195,250
gene-PA0984,676,677,235,365
gene-PA0985,3824,3347,1995,2648
gene-PA0986,310,213,113,133
gene-PA0987,849,645,357,525
gene-PA0988,852,678,523,618
gene-PA0989,938,671,397,459
gene-PA0990,1150,901,620,840
gene-PA0992,964,716,601,746
gene-PA0993,702,284,81,143
gene-PA0994,2862,1705,939,1396
gene-PA0995,972,617,612,762
gene-PA0996,1250,1579,825,1318
gene-PA0997,586,843,461,804
gene-PA0998,951,1008,493,834
gene-PA0999,995,1166,676,1121
gene-PA1000,781,1092,638,999
gene-PA1001,1387,1721,1224,1918
gene-PA1002,396,516,415,658
gene-PA1003,1334,1176,933,1201
gene-PA1004,5259,5348,4880,5643
gene-PA1005,4486,4945,5096,6505
gene-PA1006,742,679,503,557
gene-PA1007,2095,1878,1659,1971
gene-PA1008,4222,4055,4982,5139
gene-PA1009,12834,12812,12201,14480
gene-PA1010,15685,18298,21408,26149
gene-PA1011,14429,15783,19586,22680
gene-PA1012,7188,6848,6299,6832
gene-PA1013,10532,10009,10501,11654
gene-PA1013.1,901,1490,789,1073
gene-PA1014,2967,2263,1784,2041
gene-PA1015,2050,1707,1616,2080
gene-PA1016,1217,1604,1666,2160
gene-PA1017,1192,1487,1286,2240
gene-PA1018,609,660,596,1251
gene-PA1019,936,838,677,1048
gene-PA1019a,276,332,210,350
gene-PA1020,454,743,646,1033
gene-PA1021,417,421,475,786
gene-PA1022,1368,1378,843,1311
gene-PA1023,1027,1114,920,1217
gene-PA1024,612,957,1050,1514
gene-PA1025,1125,1336,723,1113
gene-PA1026,450,489,382,523
gene-PA1027,1171,1346,927,1516
gene-PA1028,1219,1350,1029,1432
gene-PA1030,1284,1283,1194,1335
gene-PA1030.1,169,171,112,128
gene-PA1031,2124,2149,2181,2433
gene-PA1032,4918,5209,4925,6214
gene-PA1033,1779,1977,1796,2079
gene-PA1034,2248,2511,1489,1637
gene-PA1035,2955,3235,2253,2776
gene-PA1036,615,736,829,1128
gene-PA1037,1309,1317,1115,1318
gene-PA1038,715,958,748,862
gene-PA1039,1352,1614,1400,1719
gene-PA1040,1616,1830,1737,2448
gene-PA1041,442,507,668,870
gene-PA1042,729,542,415,468
gene-PA1043,1414,1389,1452,1724
gene-PA1044,958,930,818,1133
gene-PA1045,6518,7462,6978,8057
gene-PA1046,2707,3123,2940,3923
gene-PA1047,2546,2880,2625,3288
gene-PA1048,12188,14024,9859,12145
gene-PA1049,3853,4360,5651,6579
gene-PA1050,1243,1612,2055,2561
gene-PA1051,2297,2644,2921,3407
gene-PA1052,494,558,1099,1638
gene-PA1052a,730,646,988,1263
gene-PA1053,18066,15264,25643,29978
gene-PA1054,6041,6479,7906,9631
gene-PA1055,1346,1512,1496,1842
gene-PA1056,3436,3982,4241,5123
gene-PA1057,2494,2410,2579,3054
gene-PA1058,1459,1477,1595,1863
gene-PA1059,1778,1568,1564,1871
gene-PA1060,1923,2102,1861,2556
gene-PA1061,2157,2245,2414,2854
gene-PA1062,927,987,1160,1266
gene-PA1063,1109,1398,1146,1254
gene-PA1064,4007,4228,4083,4495
gene-PA1065,619,688,908,1169
gene-PA1066,744,663,1511,1838
gene-PA1067,828,1038,660,929
gene-PA1068,10871,10172,5923,7175
gene-PA1069,8926,7366,4877,5469
gene-PA1070,1272,1151,1065,1347
gene-PA1071,1597,1839,1597,1975
gene-PA1072,1832,2180,1753,2180
gene-PA1073,1685,1846,1757,1875
gene-PA1074,10148,11921,12779,14202
gene-PA1075,823,897,818,977
gene-PA1076,2548,2814,5139,5364
gene-PA1077,4838,6253,5478,7521
gene-PA1078,3784,4332,4519,5709
gene-PA1079,3982,3925,4778,5381
gene-PA1080,15777,16063,22923,27012
gene-PA1081,2831,3007,4031,4918
gene-PA1082,8375,9558,11341,14251
gene-PA1083,4617,4726,6034,7023
gene-PA1084,4085,5098,6237,7298
gene-PA1085,5514,5698,7594,9368
gene-PA1086,12389,12897,16187,19967
gene-PA1087,7490,8106,10507,12498
gene-PA1088,1897,1872,2141,2438
gene-PA1089,1475,1373,1633,1760
gene-PA1090,1374,1219,1301,1527
gene-PA1091,10118,10138,13074,16955
gene-PA1092,116759,116098,170262,200345
gene-PA1093,4315,4642,5789,6621
gene-PA1094,27444,30660,33651,40101
gene-PA1095,4519,4190,6427,6785
gene-PA1096,6572,6114,6092,8023
gene-PA1097,9266,9627,12263,13713
gene-PA1098,5351,6113,7009,8102
gene-PA1099,2832,3193,4596,5759
gene-PA1100,1291,1330,1424,1638
gene-PA1101,4653,5098,5891,6942
gene-PA1102,5988,6799,7776,8746
gene-PA1103,2501,2649,3353,3680
gene-PA1104,2401,2787,3424,3930
gene-PA1105,672,727,722,991
gene-PA1106,1778,2250,2091,2681
gene-PA1107,1045,1442,971,1364
gene-PA1108,417,524,477,803
gene-PA1109,567,718,779,1047
gene-PA1110,848,991,1035,1275
gene-PA1111,459,572,428,727
gene-PA1112,1746,2059,1840,2270
gene-PA1112.1,2281,2202,2713,2938
gene-PA1112a,776,758,802,851
gene-PA1112b,2161,2063,2605,2803
gene-PA1113,1290,1518,1564,2244
gene-PA1114,312,280,534,759
gene-PA1115,3821,4016,4535,5634
gene-PA1116,2809,2542,2252,2628
gene-PA1117,774,890,1235,1441
gene-PA1118,948,1104,1010,1286
gene-PA1119,2660,3343,3289,4203
gene-PA1120,2110,2886,2320,3064
gene-PA1121,944,1181,932,1179
gene-PA1123,878,963,2112,1983
gene-PA1124,2071,2106,1804,2150
gene-PA1125,759,907,1034,1417
gene-PA1126,2790,2591,2116,2547
gene-PA1127,3073,3846,4590,5260
gene-PA1128,807,876,808,1125
gene-PA1129,341,382,478,695
gene-PA1130,432,533,583,984
gene-PA1131,369,412,465,973
gene-PA1132,3070,3196,2876,3188
gene-PA1133,389,487,472,676
gene-PA1134,566,547,412,629
gene-PA1135,1211,1188,1368,1580
gene-PA1136,673,827,980,1279
gene-PA1137,560,729,2208,2706
gene-PA1138,358,516,510,862
gene-PA1139,502,628,718,1243
gene-PA1140,1483,1626,1176,1568
gene-PA1141,954,1286,909,1439
gene-PA1142,944,1250,1280,1629
gene-PA1143,194,212,287,629
gene-PA1144,677,752,683,1119
gene-PA1145,990,1269,776,1203
gene-PA1146,323,465,613,1133
gene-PA1147,638,800,691,1258
gene-PA1148,1169,1470,1092,1798
gene-PA1149,382,439,353,600
gene-PA1150,5377,4755,3921,4716
gene-PA1151,3203,3913,3150,4226
gene-PA1153,314,369,401,689
gene-PA1154,915,785,454,583
gene-PA1155,41483,39423,61675,74303
gene-PA1156,115182,107299,131998,163298
gene-PA1157,1285,1405,1374,1712
gene-PA1158,1357,1582,1329,2006
gene-PA1159,2196,1476,1790,1866
gene-PA1160,510,531,1004,1365
gene-PA1161,2056,2248,3023,3738
gene-PA1162,6158,6882,7522,8838
gene-PA1163,2009,2581,2182,3491
gene-PA1164,1904,2252,1944,2777
gene-PA1165,306,349,385,625
gene-PA1166,590,843,496,940
gene-PA1167,702,915,522,824
gene-PA1168,382,178,64,123
gene-PA1169,1821,1971,1263,1957
gene-PA1170,2136,2384,2486,3035
gene-PA1171,4080,3783,3093,3594
gene-PA1172,721,516,511,633
gene-PA1173,330,268,293,333
gene-PA1174,1872,2297,2245,3108
gene-PA1175,198,246,344,434
gene-PA1176,78,101,233,410
gene-PA1177,153,129,175,214
gene-PA1178,200381,227401,319168,378221
gene-PA1179,36403,36916,59138,66182
gene-PA1180,13851,12342,21212,23329
gene-PA1181,5855,5885,6856,8882
gene-PA1182,875,940,851,1350
gene-PA1183,15513,16125,13107,14803
gene-PA1184,808,1098,836,1350
gene-PA1185,521,593,394,606
gene-PA1186,394,594,456,770
gene-PA1187,1017,1128,690,999
gene-PA1188,643,862,974,1478
gene-PA1189,1341,1595,1157,1540
gene-PA1190,710,713,452,598
gene-PA1191,718,892,607,803
gene-PA1192,3502,3593,3688,3880
gene-PA1193,3333,3552,3510,4166
gene-PA1194,1457,1620,1319,1979
gene-PA1195,798,689,490,785
gene-PA1196,1174,1624,2164,2892
gene-PA1197,1475,1777,1707,2213
gene-PA1198,6672,6694,8066,8302
gene-PA1199,6046,6813,7515,8663
gene-PA1200,2094,2643,2780,3207
gene-PA1201,985,1291,900,1262
gene-PA1202,2497,2626,2112,2728
gene-PA1203,1284,1403,1082,1463
gene-PA1204,926,927,934,1304
gene-PA1205,1764,2220,2187,2968
gene-PA1206,1751,1811,1596,1780
gene-PA1207,5422,5687,5556,6688
gene-PA1208,1721,1980,1431,2109
gene-PA1209,656,724,714,1203
gene-PA1210,481,676,617,952
gene-PA1211,96,185,188,462
gene-PA1212,708,1060,590,1014
gene-PA1213,398,652,471,926
gene-PA1214,356,617,574,1076
gene-PA1215,460,509,441,1004
gene-PA1216,803,904,610,937
gene-PA1217,899,1285,921,1477
gene-PA1218,614,757,438,823
gene-PA1219,216,335,199,392
gene-PA1220,470,621,570,1139
gene-PA1221,1160,1444,799,1503
gene-PA1222,2121,2367,2832,3420
gene-PA1223,571,695,953,1409
gene-PA1224,767,892,819,1066
gene-PA1225,356,410,529,843
gene-PA1226,460,508,531,830
gene-PA1227,1261,1162,1428,1980
gene-PA1228,3779,3482,2696,3325
gene-PA1229,628,839,779,1262
gene-PA1230,252,229,111,213
gene-PA1231,335,475,346,791
gene-PA1232,618,849,741,1221
gene-PA1233,370,440,419,536
gene-PA1234,621,687,684,909
gene-PA1235,407,494,646,819
gene-PA1236,852,1182,809,1198
gene-PA1237,152,237,206,502
gene-PA1238,193,224,291,644
gene-PA1239,481,641,686,1131
gene-PA1240,451,562,661,1032
gene-PA1241,1303,1392,1195,1486
gene-PA1242,1152,1323,1491,1930
gene-PA1243,2813,3156,3527,4645
gene-PA1244,4880,5109,7947,9236
gene-PA1245,769,909,629,1069
gene-PA1246,816,978,873,1302
gene-PA1247,865,1039,773,1268
gene-PA1248,918,1129,693,1251
gene-PA1249,1081,1016,605,992
gene-PA1250,158,169,203,418
gene-PA1251,790,978,846,1581
gene-PA1252,594,842,745,1140
gene-PA1253,400,616,533,1106
gene-PA1254,632,536,322,553
gene-PA1255,391,700,499,945
gene-PA1256,746,889,552,776
gene-PA1257,391,388,365,578
gene-PA1258,419,500,330,477
gene-PA1259,364,554,544,1000
gene-PA1260,605,714,403,769
gene-PA1261,377,463,529,842
gene-PA1262,439,377,542,1053
gene-PA1263,898,973,1054,1343
gene-PA1264,252,290,383,621
gene-PA1265,225,224,205,404
gene-PA1266,60,86,165,380
gene-PA1267,190,170,290,522
gene-PA1268,296,399,531,932
gene-PA1269,1014,1178,1094,1407
gene-PA1270,689,898,594,1148
gene-PA1271,6648,7257,6260,7011
gene-PA1272,2136,1969,2116,2443
gene-PA1273,2169,2075,2792,3859
gene-PA1274,601,594,981,1295
gene-PA1275,587,518,814,1162
gene-PA1276,576,550,936,1405
gene-PA1277,1805,2029,2575,3528
gene-PA1278,531,500,776,1013
gene-PA1279,426,397,903,1317
gene-PA1280,305,285,470,729
gene-PA1281,359,429,708,947
gene-PA1282,600,678,977,1692
gene-PA1283,546,713,612,753
gene-PA1284,1367,1835,1283,1800
gene-PA1285,384,390,314,545
gene-PA1286,510,630,609,1071
gene-PA1287,779,894,806,976
gene-PA1288,24531,26827,27354,31056
gene-PA1289,430,425,540,825
gene-PA1290,758,732,478,698
gene-PA1291,768,957,919,1262
gene-PA1292,4246,4468,4419,5436
gene-PA1293,5031,5816,4168,5302
gene-PA1294,2863,3125,3506,4271
gene-PA1295,1402,1714,1282,1582
gene-PA1296,2725,2825,2774,3041
gene-PA1297,1330,1597,1030,1490
gene-PA1298,346,431,254,369
gene-PA1299,1873,2055,1461,1778
gene-PA1300,1895,2213,883,1341
gene-PA1301,1426,1553,1067,1543
gene-PA1302,4927,5162,2725,4018
gene-PA1303,1099,1464,1054,1318
gene-PA1304,5098,5994,6491,8148
gene-PA1305,2603,3026,2944,3418
gene-PA1306,2243,2736,2762,3432
gene-PA1307,2103,2358,2657,3025
gene-PA1308,1155,1246,1364,1529
gene-PA1309,1077,1389,1233,1802
gene-PA1310,968,1284,728,1199
gene-PA1311,748,893,491,868
gene-PA1312,783,930,864,1214
gene-PA1313,695,809,612,1020
gene-PA1314,375,499,365,501
gene-PA1315,901,994,810,1026
gene-PA1316,1394,1442,1321,2020
gene-PA1317,10095,8826,10044,12263
gene-PA1318,21331,18877,22225,27394
gene-PA1319,6982,6215,7576,9380
gene-PA1320,1387,1136,1709,1862
gene-PA1321,4215,4406,5622,6877
gene-PA1322,2058,2656,1413,2081
gene-PA1323,3198,3533,4197,5337
gene-PA1324,8256,8445,7948,10289
gene-PA1324.1,175,226,114,175
gene-PA1325,520,626,608,804
gene-PA1326,1288,1742,1627,2606
gene-PA1327,1241,1599,1292,2065
gene-PA1328,608,917,917,1452
gene-PA1329,137,159,133,206
gene-PA1330,560,497,579,820
gene-PA1331,941,1070,1340,1792
gene-PA1332,694,845,893,1193
gene-PA1333,562,570,739,851
gene-PA1334,496,679,568,1092
gene-PA1335,1151,1432,1141,1526
gene-PA1336,2310,2760,2495,3469
gene-PA1337,2027,2549,3149,3787
gene-PA1338,2437,3131,2264,2981
gene-PA1339,1868,1723,1680,1799
gene-PA1340,1367,1227,994,1035
gene-PA1341,1068,1161,1009,1049
gene-PA1342,5130,5160,3889,4446
gene-PA1343,2431,2192,3813,3938
gene-PA1344,1522,1352,2222,2657
gene-PA1345,931,1180,1044,1547
gene-PA1346,446,443,381,751
gene-PA1347,656,504,255,359
gene-PA1348,497,359,209,388
gene-PA1349,233,285,201,346
gene-PA1350,578,815,527,799
gene-PA1351,269,430,500,808
gene-PA1352,157,247,195,353
gene-PA1353,325,366,202,283
gene-PA1354,467,452,268,463
gene-PA1355,73,84,83,190
gene-PA1356,274,419,477,931
gene-PA1357,488,711,950,1107
gene-PA1358,734,976,923,1146
gene-PA1359,1057,1193,1224,1504
gene-PA1360,921,864,1128,1622
gene-PA1361,1765,1866,2202,2673
gene-PA1362,478,503,278,427
gene-PA1363,2188,2637,1467,1899
gene-PA1364,1397,1568,1071,1696
gene-PA1365,5219,6212,4521,6153
gene-PA1366,1577,1384,1253,1501
gene-PA1367,820,899,578,785
gene-PA1368,1702,849,420,538
gene-PA1369,1027,780,369,396
gene-PA1370,3538,2162,1070,1303
gene-PA1371,2012,1368,996,1375
gene-PA1372,9430,7959,7402,9315
gene-PA1373,589,727,1163,2018
gene-PA1374,605,691,445,674
gene-PA1375,806,691,1120,1565
gene-PA1376,2613,2593,2612,3331
gene-PA1377,1054,1165,1084,1719
gene-PA1378,552,585,373,494
gene-PA1379,534,483,504,657
gene-PA1380,708,872,537,1004
gene-PA1381,797,436,190,273
gene-PA1382,3013,1772,1459,1831
gene-PA1383,2380,1601,1119,1475
gene-PA1384,1715,648,345,423
gene-PA1385,1310,620,285,331
gene-PA1386,1442,686,277,429
gene-PA1387,2025,1059,733,974
gene-PA1388,803,407,257,306
gene-PA1389,1682,840,627,720
gene-PA1390,1291,913,485,670
gene-PA1391,1617,1301,725,1039
gene-PA1392,1351,607,355,509
gene-PA1393,688,308,169,222
gene-PA1394,214,220,172,331
gene-PA1395,701,573,336,463
gene-PA1396,3046,3218,1564,2157
gene-PA1397,1085,1234,1038,1333
gene-PA1398,561,585,566,831
gene-PA1399,364,409,609,963
gene-PA1400,1759,2192,2355,3729
gene-PA1401,3233,2921,2499,2591
gene-PA1402,7577,7843,7249,7439
gene-PA1403,461,569,478,699
gene-PA1404,340,394,222,318
gene-PA1405,1932,2395,2201,2983
gene-PA1406,645,1052,865,1280
gene-PA1407,1199,1219,1342,1872
gene-PA1408,1463,1817,1936,3045
gene-PA1409,570,725,410,883
gene-PA1410,821,1003,603,893
gene-PA1411,627,659,614,1050
gene-PA1412,199,184,250,622
gene-PA1413,558,638,624,965
gene-PA1414,2071,2495,5111,6214
gene-PA1415,2088,2554,3472,4862
gene-PA1416,608,678,688,1033
gene-PA1417,533,758,553,1070
gene-PA1418,669,909,634,945
gene-PA1419,979,1296,852,1417
gene-PA1420,495,610,366,536
gene-PA1421,1305,1536,1163,1389
gene-PA1422,1435,1774,1228,1357
gene-PA1423,1702,2053,1652,2202
gene-PA1424,514,565,539,752
gene-PA1424a,615,652,531,719
gene-PA1425,740,1027,1255,1970
gene-PA1428,494,480,494,670
gene-PA1428a,1950,2199,1672,2242
gene-PA1429,2236,2430,6313,7061
gene-PA1430,2470,2480,2755,3159
gene-PA1431,727,606,505,623
gene-PA1432,3414,3109,3350,3219
gene-PA1433,2084,2241,2234,2761
gene-PA1434,791,866,746,1181
gene-PA1435,368,458,438,920
gene-PA1436,1693,2635,1575,2468
gene-PA1437,676,814,682,1012
gene-PA1438,886,1032,1100,1660
gene-PA1439,1407,1310,1483,1942
gene-PA1440,8095,8669,10042,10799
gene-PA1441,3314,3529,5372,6809
gene-PA1442,1340,1330,1185,1355
gene-PA1443,4802,5382,5063,6111
gene-PA1444,994,943,1661,1887
gene-PA1445,1000,1304,1872,2310
gene-PA1446,1904,2261,2767,3201
gene-PA1447,658,572,591,674
gene-PA1448,870,938,789,1041
gene-PA1449,1204,1442,1072,1474
gene-PA1450,1043,1250,877,1339
gene-PA1451,1057,1046,823,1163
gene-PA1452,4978,5552,5216,5783
gene-PA1453,2888,3075,4865,5654
gene-PA1454,8329,8751,10306,11584
gene-PA1455,4402,5015,5825,6624
gene-PA1456,3624,3449,4470,4960
gene-PA1457,5553,4531,6238,6665
gene-PA1458,7121,6259,10107,11032
gene-PA1459,4378,4508,7039,7936
